           STOP_NAME            ; STOP_NUMBER ;   EVENT   ;     85:151:5372     ;     85:151:5383     ;     85:151:5394     ;     85:151:5375     ;     85:151:5384     ;     85:151:5397     ;     85:151:5376     ;     85:151:5387     ;     85:151:5398     ;     85:151:5379     ;     85:151:5388     ;     85:151:5401     ;     85:151:5391     ;     85:151:5402     ;     85:151:5405     ;     85:151:5406     ;     85:151:5409     ;     85:151:5410     ;     85:151:5413     ;     85:151:5414     ;     85:151:5417     ;     85:151:5434     ;     85:151:5444     ;     85:151:5418     ;     85:151:5437     ;     85:151:5445     ;     85:151:5421     ;     85:151:5438     ;     85:151:5448     ;     85:151:5422     ;     85:151:5441     ;     85:151:5449     ;     85:151:5425     ;     85:151:5426     ;     85:151:5429     ;     85:151:5430     
          Cossonay-Ville, centre;      8570109;    ARRIVAL;                     ;                     ;                     ;                     ;  2025-07-01 07:40:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
          Cossonay-Ville, centre;      8570109;  DEPARTURE;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 15:17:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
                Penthalaz, poste;      8570130;    ARRIVAL;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 08:10:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
                Penthalaz, poste;      8570130;  DEPARTURE;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 15:50:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
        Cossonay-Penthalaz, gare;      8570129;    ARRIVAL;  2025-07-01 06:35:00;                     ;  2025-07-01 07:05:00;                     ;  2025-07-01 07:34:00;                     ;  2025-07-01 08:07:00;                     ;  2025-07-01 08:35:00;                     ;  2025-07-01 09:05:00;                     ;                     ;  2025-07-01 10:05:00;                     ;  2025-07-01 11:35:00;                     ;  2025-07-01 13:05:00;                     ;  2025-07-01 14:35:00;  2025-07-01 15:25:00;  2025-07-01 16:05:00;  2025-07-01 15:55:00;  2025-07-01 16:35:00;                     ;  2025-07-01 17:05:00;                     ;  2025-07-01 17:35:00;                     ;  2025-07-01 18:05:00;                     ;  2025-07-01 18:35:00;                     ;  2025-07-01 19:35:00;                     ;  2025-07-01 21:05:00
        Cossonay-Penthalaz, gare;      8570129;  DEPARTURE;                     ;  2025-07-01 06:25:00;                     ;  2025-07-01 06:55:00;  2025-07-01 07:34:00;  2025-07-01 07:25:00;  2025-07-01 08:07:00;  2025-07-01 07:55:00;                     ;  2025-07-01 08:25:00;                     ;  2025-07-01 08:55:00;  2025-07-01 09:25:00;                     ;  2025-07-01 10:25:00;                     ;  2025-07-01 11:59:00;                     ;  2025-07-01 13:25:00;                     ;  2025-07-01 15:25:00;                     ;  2025-07-01 15:55:00;                     ;  2025-07-01 16:25:00;                     ;  2025-07-01 16:55:00;                     ;  2025-07-01 17:25:00;                     ;  2025-07-01 17:55:00;                     ;  2025-07-01 18:25:00;                     ;  2025-07-01 19:55:00;                     
               Penthalaz, Verney;      8581114;    ARRIVAL;  2025-07-01 06:31:00;  2025-07-01 06:26:00;  2025-07-01 07:01:00;  2025-07-01 06:56:00;  2025-07-01 07:28:00;  2025-07-01 07:26:00;  2025-07-01 08:01:00;  2025-07-01 07:56:00;  2025-07-01 08:31:00;  2025-07-01 08:26:00;  2025-07-01 09:01:00;  2025-07-01 08:56:00;  2025-07-01 09:26:00;  2025-07-01 10:01:00;  2025-07-01 10:26:00;  2025-07-01 11:31:00;  2025-07-01 12:00:00;  2025-07-01 13:01:00;  2025-07-01 13:26:00;  2025-07-01 14:31:00;  2025-07-01 15:26:00;  2025-07-01 16:01:00;  2025-07-01 15:56:00;  2025-07-01 16:31:00;  2025-07-01 16:26:00;  2025-07-01 17:01:00;  2025-07-01 16:56:00;  2025-07-01 17:31:00;  2025-07-01 17:26:00;  2025-07-01 18:01:00;  2025-07-01 17:56:00;  2025-07-01 18:31:00;  2025-07-01 18:26:00;  2025-07-01 19:31:00;  2025-07-01 19:56:00;  2025-07-01 21:01:00
               Penthalaz, Verney;      8581114;  DEPARTURE;  2025-07-01 06:31:00;  2025-07-01 06:26:00;  2025-07-01 07:01:00;  2025-07-01 06:56:00;  2025-07-01 07:28:00;  2025-07-01 07:26:00;  2025-07-01 08:01:00;  2025-07-01 07:56:00;  2025-07-01 08:31:00;  2025-07-01 08:26:00;  2025-07-01 09:01:00;  2025-07-01 08:56:00;  2025-07-01 09:26:00;  2025-07-01 10:01:00;  2025-07-01 10:26:00;  2025-07-01 11:31:00;  2025-07-01 12:00:00;  2025-07-01 13:01:00;  2025-07-01 13:26:00;  2025-07-01 14:31:00;  2025-07-01 15:26:00;  2025-07-01 16:01:00;  2025-07-01 15:56:00;  2025-07-01 16:31:00;  2025-07-01 16:26:00;  2025-07-01 17:01:00;  2025-07-01 16:56:00;  2025-07-01 17:31:00;  2025-07-01 17:26:00;  2025-07-01 18:01:00;  2025-07-01 17:56:00;  2025-07-01 18:31:00;  2025-07-01 18:26:00;  2025-07-01 19:31:00;  2025-07-01 19:56:00;  2025-07-01 21:01:00
                Penthaz, La Vaux;      8570132;    ARRIVAL;  2025-07-01 06:30:00;  2025-07-01 06:27:00;  2025-07-01 07:00:00;  2025-07-01 06:57:00;  2025-07-01 07:27:00;  2025-07-01 07:27:00;  2025-07-01 08:00:00;  2025-07-01 07:57:00;  2025-07-01 08:30:00;  2025-07-01 08:27:00;  2025-07-01 09:00:00;  2025-07-01 08:57:00;  2025-07-01 09:27:00;  2025-07-01 10:00:00;  2025-07-01 10:27:00;  2025-07-01 11:30:00;  2025-07-01 12:01:00;  2025-07-01 13:00:00;  2025-07-01 13:27:00;  2025-07-01 14:30:00;  2025-07-01 15:27:00;  2025-07-01 16:00:00;  2025-07-01 15:57:00;  2025-07-01 16:30:00;  2025-07-01 16:27:00;  2025-07-01 17:00:00;  2025-07-01 16:57:00;  2025-07-01 17:30:00;  2025-07-01 17:27:00;  2025-07-01 18:00:00;  2025-07-01 17:57:00;  2025-07-01 18:30:00;  2025-07-01 18:27:00;  2025-07-01 19:30:00;  2025-07-01 19:57:00;  2025-07-01 21:00:00
                Penthaz, La Vaux;      8570132;  DEPARTURE;  2025-07-01 06:30:00;  2025-07-01 06:27:00;  2025-07-01 07:00:00;  2025-07-01 06:57:00;  2025-07-01 07:27:00;  2025-07-01 07:27:00;  2025-07-01 08:00:00;  2025-07-01 07:57:00;  2025-07-01 08:30:00;  2025-07-01 08:27:00;  2025-07-01 09:00:00;  2025-07-01 08:57:00;  2025-07-01 09:27:00;  2025-07-01 10:00:00;  2025-07-01 10:27:00;  2025-07-01 11:30:00;  2025-07-01 12:01:00;  2025-07-01 13:00:00;  2025-07-01 13:27:00;  2025-07-01 14:30:00;  2025-07-01 15:27:00;  2025-07-01 16:00:00;  2025-07-01 15:57:00;  2025-07-01 16:30:00;  2025-07-01 16:27:00;  2025-07-01 17:00:00;  2025-07-01 16:57:00;  2025-07-01 17:30:00;  2025-07-01 17:27:00;  2025-07-01 18:00:00;  2025-07-01 17:57:00;  2025-07-01 18:30:00;  2025-07-01 18:27:00;  2025-07-01 19:30:00;  2025-07-01 19:57:00;  2025-07-01 21:00:00
                Penthaz, village;      8501299;    ARRIVAL;  2025-07-01 06:29:00;  2025-07-01 06:28:00;  2025-07-01 06:59:00;  2025-07-01 06:58:00;  2025-07-01 07:26:00;  2025-07-01 07:28:00;  2025-07-01 07:59:00;  2025-07-01 07:58:00;  2025-07-01 08:29:00;  2025-07-01 08:28:00;  2025-07-01 08:59:00;  2025-07-01 08:58:00;  2025-07-01 09:28:00;  2025-07-01 09:59:00;  2025-07-01 10:28:00;  2025-07-01 11:29:00;  2025-07-01 12:02:00;  2025-07-01 12:59:00;  2025-07-01 13:28:00;  2025-07-01 14:29:00;  2025-07-01 15:28:00;  2025-07-01 15:59:00;  2025-07-01 15:58:00;  2025-07-01 16:29:00;  2025-07-01 16:28:00;  2025-07-01 16:59:00;  2025-07-01 16:58:00;  2025-07-01 17:29:00;  2025-07-01 17:28:00;  2025-07-01 17:59:00;  2025-07-01 17:58:00;  2025-07-01 18:29:00;  2025-07-01 18:28:00;  2025-07-01 19:29:00;  2025-07-01 19:58:00;  2025-07-01 20:59:00
                Penthaz, village;      8501299;  DEPARTURE;  2025-07-01 06:29:00;  2025-07-01 06:28:00;  2025-07-01 06:59:00;  2025-07-01 06:58:00;  2025-07-01 07:26:00;  2025-07-01 07:28:00;  2025-07-01 07:59:00;  2025-07-01 07:58:00;  2025-07-01 08:29:00;  2025-07-01 08:28:00;  2025-07-01 08:59:00;  2025-07-01 08:58:00;  2025-07-01 09:28:00;  2025-07-01 09:59:00;  2025-07-01 10:28:00;  2025-07-01 11:29:00;  2025-07-01 12:02:00;  2025-07-01 12:59:00;  2025-07-01 13:28:00;  2025-07-01 14:29:00;  2025-07-01 15:28:00;  2025-07-01 15:59:00;  2025-07-01 15:58:00;  2025-07-01 16:29:00;  2025-07-01 16:28:00;  2025-07-01 16:59:00;  2025-07-01 16:58:00;  2025-07-01 17:29:00;  2025-07-01 17:28:00;  2025-07-01 17:59:00;  2025-07-01 17:58:00;  2025-07-01 18:29:00;  2025-07-01 18:28:00;  2025-07-01 19:29:00;  2025-07-01 19:58:00;  2025-07-01 20:59:00
  Vufflens-la-Ville,grande salle;      8593779;    ARRIVAL;  2025-07-01 06:25:00;  2025-07-01 06:32:00;  2025-07-01 06:55:00;  2025-07-01 07:02:00;  2025-07-01 07:22:00;  2025-07-01 07:32:00;  2025-07-01 07:55:00;  2025-07-01 08:02:00;  2025-07-01 08:25:00;  2025-07-01 08:32:00;  2025-07-01 08:55:00;  2025-07-01 09:02:00;  2025-07-01 09:32:00;  2025-07-01 09:55:00;  2025-07-01 10:32:00;  2025-07-01 11:25:00;  2025-07-01 12:06:00;  2025-07-01 12:55:00;  2025-07-01 13:32:00;  2025-07-01 14:25:00;  2025-07-01 15:32:00;  2025-07-01 15:55:00;  2025-07-01 16:02:00;  2025-07-01 16:25:00;  2025-07-01 16:32:00;  2025-07-01 16:55:00;  2025-07-01 17:02:00;  2025-07-01 17:25:00;  2025-07-01 17:32:00;  2025-07-01 17:55:00;  2025-07-01 18:02:00;  2025-07-01 18:25:00;  2025-07-01 18:32:00;  2025-07-01 19:25:00;  2025-07-01 20:02:00;  2025-07-01 20:55:00
  Vufflens-la-Ville,grande salle;      8593779;  DEPARTURE;  2025-07-01 06:25:00;  2025-07-01 06:32:00;  2025-07-01 06:55:00;  2025-07-01 07:02:00;  2025-07-01 07:22:00;  2025-07-01 07:32:00;  2025-07-01 07:55:00;  2025-07-01 08:02:00;  2025-07-01 08:25:00;  2025-07-01 08:32:00;  2025-07-01 08:55:00;  2025-07-01 09:02:00;  2025-07-01 09:32:00;  2025-07-01 09:55:00;  2025-07-01 10:32:00;  2025-07-01 11:25:00;  2025-07-01 12:06:00;  2025-07-01 12:55:00;  2025-07-01 13:32:00;  2025-07-01 14:25:00;  2025-07-01 15:32:00;  2025-07-01 15:55:00;  2025-07-01 16:02:00;  2025-07-01 16:25:00;  2025-07-01 16:32:00;  2025-07-01 16:55:00;  2025-07-01 17:02:00;  2025-07-01 17:25:00;  2025-07-01 17:32:00;  2025-07-01 17:55:00;  2025-07-01 18:02:00;  2025-07-01 18:25:00;  2025-07-01 18:32:00;  2025-07-01 19:25:00;  2025-07-01 20:02:00;  2025-07-01 20:55:00
       Vufflens-la-Ville, église;      8593781;    ARRIVAL;  2025-07-01 06:23:00;  2025-07-01 06:34:00;  2025-07-01 06:53:00;  2025-07-01 07:04:00;  2025-07-01 07:20:00;  2025-07-01 07:34:00;  2025-07-01 07:53:00;  2025-07-01 08:04:00;  2025-07-01 08:23:00;  2025-07-01 08:34:00;  2025-07-01 08:53:00;  2025-07-01 09:04:00;  2025-07-01 09:34:00;  2025-07-01 09:53:00;  2025-07-01 10:34:00;  2025-07-01 11:23:00;  2025-07-01 12:08:00;  2025-07-01 12:53:00;  2025-07-01 13:34:00;  2025-07-01 14:23:00;  2025-07-01 15:34:00;  2025-07-01 15:53:00;  2025-07-01 16:04:00;  2025-07-01 16:23:00;  2025-07-01 16:34:00;  2025-07-01 16:53:00;  2025-07-01 17:04:00;  2025-07-01 17:23:00;  2025-07-01 17:34:00;  2025-07-01 17:53:00;  2025-07-01 18:04:00;  2025-07-01 18:23:00;  2025-07-01 18:34:00;  2025-07-01 19:23:00;  2025-07-01 20:04:00;  2025-07-01 20:53:00
       Vufflens-la-Ville, église;      8593781;  DEPARTURE;  2025-07-01 06:23:00;  2025-07-01 06:34:00;  2025-07-01 06:53:00;  2025-07-01 07:04:00;  2025-07-01 07:20:00;  2025-07-01 07:34:00;  2025-07-01 07:53:00;  2025-07-01 08:04:00;  2025-07-01 08:23:00;  2025-07-01 08:34:00;  2025-07-01 08:53:00;  2025-07-01 09:04:00;  2025-07-01 09:34:00;  2025-07-01 09:53:00;  2025-07-01 10:34:00;  2025-07-01 11:23:00;  2025-07-01 12:08:00;  2025-07-01 12:53:00;  2025-07-01 13:34:00;  2025-07-01 14:23:00;  2025-07-01 15:34:00;  2025-07-01 15:53:00;  2025-07-01 16:04:00;  2025-07-01 16:23:00;  2025-07-01 16:34:00;  2025-07-01 16:53:00;  2025-07-01 17:04:00;  2025-07-01 17:23:00;  2025-07-01 17:34:00;  2025-07-01 17:53:00;  2025-07-01 18:04:00;  2025-07-01 18:23:00;  2025-07-01 18:34:00;  2025-07-01 19:23:00;  2025-07-01 20:04:00;  2025-07-01 20:53:00
                 Mex VD, village;      8588853;    ARRIVAL;  2025-07-01 06:19:00;  2025-07-01 06:39:00;  2025-07-01 06:49:00;  2025-07-01 07:09:00;  2025-07-01 07:16:00;  2025-07-01 07:39:00;  2025-07-01 07:49:00;  2025-07-01 08:09:00;  2025-07-01 08:19:00;  2025-07-01 08:39:00;  2025-07-01 08:49:00;  2025-07-01 09:09:00;  2025-07-01 09:39:00;  2025-07-01 09:49:00;  2025-07-01 10:39:00;  2025-07-01 11:19:00;  2025-07-01 12:13:00;  2025-07-01 12:49:00;  2025-07-01 13:39:00;  2025-07-01 14:19:00;  2025-07-01 15:39:00;  2025-07-01 15:49:00;  2025-07-01 16:09:00;  2025-07-01 16:19:00;  2025-07-01 16:39:00;  2025-07-01 16:49:00;  2025-07-01 17:09:00;  2025-07-01 17:19:00;  2025-07-01 17:39:00;  2025-07-01 17:49:00;  2025-07-01 18:09:00;  2025-07-01 18:19:00;  2025-07-01 18:39:00;  2025-07-01 19:19:00;  2025-07-01 20:09:00;  2025-07-01 20:49:00
                 Mex VD, village;      8588853;  DEPARTURE;  2025-07-01 06:19:00;  2025-07-01 06:39:00;  2025-07-01 06:49:00;  2025-07-01 07:09:00;  2025-07-01 07:16:00;  2025-07-01 07:39:00;  2025-07-01 07:49:00;  2025-07-01 08:09:00;  2025-07-01 08:19:00;  2025-07-01 08:39:00;  2025-07-01 08:49:00;  2025-07-01 09:09:00;  2025-07-01 09:39:00;  2025-07-01 09:49:00;  2025-07-01 10:39:00;  2025-07-01 11:19:00;  2025-07-01 12:13:00;  2025-07-01 12:49:00;  2025-07-01 13:39:00;  2025-07-01 14:19:00;  2025-07-01 15:39:00;  2025-07-01 15:49:00;  2025-07-01 16:09:00;  2025-07-01 16:19:00;  2025-07-01 16:39:00;  2025-07-01 16:49:00;  2025-07-01 17:09:00;  2025-07-01 17:19:00;  2025-07-01 17:39:00;  2025-07-01 17:49:00;  2025-07-01 18:09:00;  2025-07-01 18:19:00;  2025-07-01 18:39:00;  2025-07-01 19:19:00;  2025-07-01 20:09:00;  2025-07-01 20:49:00
