           STOP_NAME            ; STOP_NUMBER ;   EVENT   ;     85:151:5372     ;     85:151:5383     ;     85:151:5394     ;     85:151:5375     ;     85:151:5384     ;     85:151:5397     ;     85:151:5376     ;     85:151:5387     ;     85:151:5398     ;     85:151:5379     ;     85:151:5388     ;     85:151:5401     ;     85:151:5391     ;     85:151:5402     ;     85:151:5405     ;     85:151:5406     ;     85:151:5409     ;     85:151:5410     ;     85:151:5413     ;     85:151:5414     ;     85:151:5417     ;     85:151:5434     ;     85:151:5444     ;     85:151:5418     ;     85:151:5437     ;     85:151:5445     ;     85:151:5421     ;     85:151:5438     ;     85:151:5448     ;     85:151:5422     ;     85:151:5441     ;     85:151:5449     ;     85:151:5425     ;     85:151:5426     ;     85:151:5429     ;     85:151:5430     
                   Mex VD, Trésy;      8588851;    ARRIVAL;  2025-07-01 06:17:00;  2025-07-01 06:41:00;  2025-07-01 06:47:00;  2025-07-01 07:11:00;  2025-07-01 07:14:00;  2025-07-01 07:41:00;  2025-07-01 07:47:00;  2025-07-01 08:11:00;  2025-07-01 08:17:00;  2025-07-01 08:41:00;  2025-07-01 08:47:00;  2025-07-01 09:11:00;  2025-07-01 09:41:00;  2025-07-01 09:47:00;  2025-07-01 10:41:00;  2025-07-01 11:17:00;  2025-07-01 12:15:00;  2025-07-01 12:47:00;  2025-07-01 13:41:00;  2025-07-01 14:17:00;  2025-07-01 15:41:00;  2025-07-01 15:47:00;  2025-07-01 16:11:00;  2025-07-01 16:17:00;  2025-07-01 16:41:00;  2025-07-01 16:47:00;  2025-07-01 17:11:00;  2025-07-01 17:17:00;  2025-07-01 17:41:00;  2025-07-01 17:47:00;  2025-07-01 18:11:00;  2025-07-01 18:17:00;  2025-07-01 18:41:00;  2025-07-01 19:17:00;  2025-07-01 20:11:00;  2025-07-01 20:47:00
                   Mex VD, Trésy;      8588851;  DEPARTURE;  2025-07-01 06:17:00;  2025-07-01 06:41:00;  2025-07-01 06:47:00;  2025-07-01 07:11:00;  2025-07-01 07:14:00;  2025-07-01 07:41:00;  2025-07-01 07:47:00;  2025-07-01 08:11:00;  2025-07-01 08:17:00;  2025-07-01 08:41:00;  2025-07-01 08:47:00;  2025-07-01 09:11:00;  2025-07-01 09:41:00;  2025-07-01 09:47:00;  2025-07-01 10:41:00;  2025-07-01 11:17:00;  2025-07-01 12:15:00;  2025-07-01 12:47:00;  2025-07-01 13:41:00;  2025-07-01 14:17:00;  2025-07-01 15:41:00;  2025-07-01 15:47:00;  2025-07-01 16:11:00;  2025-07-01 16:17:00;  2025-07-01 16:41:00;  2025-07-01 16:47:00;  2025-07-01 17:11:00;  2025-07-01 17:17:00;  2025-07-01 17:41:00;  2025-07-01 17:47:00;  2025-07-01 18:11:00;  2025-07-01 18:17:00;  2025-07-01 18:41:00;  2025-07-01 19:17:00;  2025-07-01 20:11:00;  2025-07-01 20:47:00
             Mex VD, Les Esserts;      8588850;    ARRIVAL;  2025-07-01 06:16:00;  2025-07-01 06:42:00;  2025-07-01 06:46:00;  2025-07-01 07:12:00;  2025-07-01 07:13:00;  2025-07-01 07:42:00;  2025-07-01 07:46:00;  2025-07-01 08:12:00;  2025-07-01 08:16:00;  2025-07-01 08:42:00;  2025-07-01 08:46:00;  2025-07-01 09:12:00;  2025-07-01 09:42:00;  2025-07-01 09:46:00;  2025-07-01 10:42:00;  2025-07-01 11:16:00;  2025-07-01 12:16:00;  2025-07-01 12:46:00;  2025-07-01 13:42:00;  2025-07-01 14:16:00;  2025-07-01 15:42:00;  2025-07-01 15:46:00;  2025-07-01 16:12:00;  2025-07-01 16:16:00;  2025-07-01 16:42:00;  2025-07-01 16:46:00;  2025-07-01 17:12:00;  2025-07-01 17:16:00;  2025-07-01 17:42:00;  2025-07-01 17:46:00;  2025-07-01 18:12:00;  2025-07-01 18:16:00;  2025-07-01 18:42:00;  2025-07-01 19:16:00;  2025-07-01 20:12:00;  2025-07-01 20:46:00
             Mex VD, Les Esserts;      8588850;  DEPARTURE;  2025-07-01 06:16:00;  2025-07-01 06:42:00;  2025-07-01 06:46:00;  2025-07-01 07:12:00;  2025-07-01 07:13:00;  2025-07-01 07:42:00;  2025-07-01 07:46:00;  2025-07-01 08:12:00;  2025-07-01 08:16:00;  2025-07-01 08:42:00;  2025-07-01 08:46:00;  2025-07-01 09:12:00;  2025-07-01 09:42:00;  2025-07-01 09:46:00;  2025-07-01 10:42:00;  2025-07-01 11:16:00;  2025-07-01 12:16:00;  2025-07-01 12:46:00;  2025-07-01 13:42:00;  2025-07-01 14:16:00;  2025-07-01 15:42:00;  2025-07-01 15:46:00;  2025-07-01 16:12:00;  2025-07-01 16:16:00;  2025-07-01 16:42:00;  2025-07-01 16:46:00;  2025-07-01 17:12:00;  2025-07-01 17:16:00;  2025-07-01 17:42:00;  2025-07-01 17:46:00;  2025-07-01 18:12:00;  2025-07-01 18:16:00;  2025-07-01 18:42:00;  2025-07-01 19:16:00;  2025-07-01 20:12:00;  2025-07-01 20:46:00
  Villars-Ste-Croix, Croix Péage;      8588846;    ARRIVAL;  2025-07-01 06:12:00;  2025-07-01 06:45:00;  2025-07-01 06:42:00;  2025-07-01 07:15:00;  2025-07-01 07:09:00;  2025-07-01 07:45:00;  2025-07-01 07:42:00;  2025-07-01 08:15:00;  2025-07-01 08:12:00;  2025-07-01 08:45:00;  2025-07-01 08:42:00;  2025-07-01 09:15:00;  2025-07-01 09:45:00;  2025-07-01 09:42:00;  2025-07-01 10:45:00;  2025-07-01 11:12:00;  2025-07-01 12:19:00;  2025-07-01 12:42:00;  2025-07-01 13:45:00;  2025-07-01 14:12:00;  2025-07-01 15:45:00;  2025-07-01 15:42:00;  2025-07-01 16:15:00;  2025-07-01 16:12:00;  2025-07-01 16:45:00;  2025-07-01 16:42:00;  2025-07-01 17:15:00;  2025-07-01 17:12:00;  2025-07-01 17:45:00;  2025-07-01 17:42:00;  2025-07-01 18:15:00;  2025-07-01 18:12:00;  2025-07-01 18:45:00;  2025-07-01 19:12:00;  2025-07-01 20:15:00;  2025-07-01 20:42:00
  Villars-Ste-Croix, Croix Péage;      8588846;  DEPARTURE;  2025-07-01 06:12:00;  2025-07-01 06:45:00;  2025-07-01 06:42:00;  2025-07-01 07:15:00;  2025-07-01 07:09:00;  2025-07-01 07:45:00;  2025-07-01 07:42:00;  2025-07-01 08:15:00;  2025-07-01 08:12:00;  2025-07-01 08:45:00;  2025-07-01 08:42:00;  2025-07-01 09:15:00;  2025-07-01 09:45:00;  2025-07-01 09:42:00;  2025-07-01 10:45:00;  2025-07-01 11:12:00;  2025-07-01 12:19:00;  2025-07-01 12:42:00;  2025-07-01 13:45:00;  2025-07-01 14:12:00;  2025-07-01 15:45:00;  2025-07-01 15:42:00;  2025-07-01 16:15:00;  2025-07-01 16:12:00;  2025-07-01 16:45:00;  2025-07-01 16:42:00;  2025-07-01 17:15:00;  2025-07-01 17:12:00;  2025-07-01 17:45:00;  2025-07-01 17:42:00;  2025-07-01 18:15:00;  2025-07-01 18:12:00;  2025-07-01 18:45:00;  2025-07-01 19:12:00;  2025-07-01 20:15:00;  2025-07-01 20:42:00
               Crissier, Timonet;      8588845;    ARRIVAL;  2025-07-01 06:10:00;  2025-07-01 06:47:00;  2025-07-01 06:40:00;  2025-07-01 07:17:00;  2025-07-01 07:07:00;  2025-07-01 07:47:00;  2025-07-01 07:40:00;  2025-07-01 08:17:00;  2025-07-01 08:10:00;  2025-07-01 08:47:00;  2025-07-01 08:40:00;  2025-07-01 09:17:00;  2025-07-01 09:47:00;  2025-07-01 09:40:00;  2025-07-01 10:47:00;  2025-07-01 11:10:00;  2025-07-01 12:21:00;  2025-07-01 12:40:00;  2025-07-01 13:47:00;  2025-07-01 14:10:00;  2025-07-01 15:47:00;  2025-07-01 15:40:00;  2025-07-01 16:17:00;  2025-07-01 16:10:00;  2025-07-01 16:47:00;  2025-07-01 16:40:00;  2025-07-01 17:17:00;  2025-07-01 17:10:00;  2025-07-01 17:47:00;  2025-07-01 17:40:00;  2025-07-01 18:17:00;  2025-07-01 18:10:00;  2025-07-01 18:47:00;  2025-07-01 19:10:00;  2025-07-01 20:17:00;  2025-07-01 20:40:00
               Crissier, Timonet;      8588845;  DEPARTURE;  2025-07-01 06:10:00;  2025-07-01 06:47:00;  2025-07-01 06:40:00;  2025-07-01 07:17:00;  2025-07-01 07:07:00;  2025-07-01 07:47:00;  2025-07-01 07:40:00;  2025-07-01 08:17:00;  2025-07-01 08:10:00;  2025-07-01 08:47:00;  2025-07-01 08:40:00;  2025-07-01 09:17:00;  2025-07-01 09:47:00;  2025-07-01 09:40:00;  2025-07-01 10:47:00;  2025-07-01 11:10:00;  2025-07-01 12:21:00;  2025-07-01 12:40:00;  2025-07-01 13:47:00;  2025-07-01 14:10:00;  2025-07-01 15:47:00;  2025-07-01 15:40:00;  2025-07-01 16:17:00;  2025-07-01 16:10:00;  2025-07-01 16:47:00;  2025-07-01 16:40:00;  2025-07-01 17:17:00;  2025-07-01 17:10:00;  2025-07-01 17:47:00;  2025-07-01 17:40:00;  2025-07-01 18:17:00;  2025-07-01 18:10:00;  2025-07-01 18:47:00;  2025-07-01 19:10:00;  2025-07-01 20:17:00;  2025-07-01 20:40:00
                Crissier, centre;      8588843;    ARRIVAL;  2025-07-01 06:09:00;  2025-07-01 06:48:00;  2025-07-01 06:39:00;  2025-07-01 07:18:00;  2025-07-01 07:06:00;  2025-07-01 07:48:00;  2025-07-01 07:39:00;  2025-07-01 08:18:00;  2025-07-01 08:09:00;  2025-07-01 08:48:00;  2025-07-01 08:39:00;  2025-07-01 09:18:00;  2025-07-01 09:48:00;  2025-07-01 09:39:00;  2025-07-01 10:48:00;  2025-07-01 11:09:00;  2025-07-01 12:22:00;  2025-07-01 12:39:00;  2025-07-01 13:48:00;  2025-07-01 14:09:00;  2025-07-01 15:48:00;  2025-07-01 15:39:00;  2025-07-01 16:18:00;  2025-07-01 16:09:00;  2025-07-01 16:48:00;  2025-07-01 16:39:00;  2025-07-01 17:18:00;  2025-07-01 17:09:00;  2025-07-01 17:48:00;  2025-07-01 17:39:00;  2025-07-01 18:18:00;  2025-07-01 18:09:00;  2025-07-01 18:48:00;  2025-07-01 19:09:00;  2025-07-01 20:18:00;  2025-07-01 20:39:00
                Crissier, centre;      8588843;  DEPARTURE;  2025-07-01 06:09:00;  2025-07-01 06:48:00;  2025-07-01 06:39:00;  2025-07-01 07:18:00;  2025-07-01 07:06:00;  2025-07-01 07:48:00;  2025-07-01 07:39:00;  2025-07-01 08:18:00;  2025-07-01 08:09:00;  2025-07-01 08:48:00;  2025-07-01 08:39:00;  2025-07-01 09:18:00;  2025-07-01 09:48:00;  2025-07-01 09:39:00;  2025-07-01 10:48:00;  2025-07-01 11:09:00;  2025-07-01 12:22:00;  2025-07-01 12:39:00;  2025-07-01 13:48:00;  2025-07-01 14:09:00;  2025-07-01 15:48:00;  2025-07-01 15:39:00;  2025-07-01 16:18:00;  2025-07-01 16:09:00;  2025-07-01 16:48:00;  2025-07-01 16:39:00;  2025-07-01 17:18:00;  2025-07-01 17:09:00;  2025-07-01 17:48:00;  2025-07-01 17:39:00;  2025-07-01 18:18:00;  2025-07-01 18:09:00;  2025-07-01 18:48:00;  2025-07-01 19:09:00;  2025-07-01 20:18:00;  2025-07-01 20:39:00
                Crissier, Chisaz;      8595148;    ARRIVAL;  2025-07-01 06:07:00;  2025-07-01 06:49:00;  2025-07-01 06:37:00;  2025-07-01 07:19:00;  2025-07-01 07:04:00;  2025-07-01 07:49:00;  2025-07-01 07:37:00;  2025-07-01 08:19:00;  2025-07-01 08:07:00;  2025-07-01 08:49:00;  2025-07-01 08:37:00;  2025-07-01 09:19:00;  2025-07-01 09:49:00;  2025-07-01 09:37:00;  2025-07-01 10:49:00;  2025-07-01 11:07:00;  2025-07-01 12:23:00;  2025-07-01 12:37:00;  2025-07-01 13:49:00;  2025-07-01 14:07:00;  2025-07-01 15:49:00;  2025-07-01 15:37:00;  2025-07-01 16:19:00;  2025-07-01 16:07:00;  2025-07-01 16:49:00;  2025-07-01 16:37:00;  2025-07-01 17:19:00;  2025-07-01 17:07:00;  2025-07-01 17:49:00;  2025-07-01 17:37:00;  2025-07-01 18:19:00;  2025-07-01 18:07:00;  2025-07-01 18:49:00;  2025-07-01 19:07:00;  2025-07-01 20:19:00;  2025-07-01 20:37:00
                Crissier, Chisaz;      8595148;  DEPARTURE;  2025-07-01 06:07:00;  2025-07-01 06:49:00;  2025-07-01 06:37:00;  2025-07-01 07:19:00;  2025-07-01 07:04:00;  2025-07-01 07:49:00;  2025-07-01 07:37:00;  2025-07-01 08:19:00;  2025-07-01 08:07:00;  2025-07-01 08:49:00;  2025-07-01 08:37:00;  2025-07-01 09:19:00;  2025-07-01 09:49:00;  2025-07-01 09:37:00;  2025-07-01 10:49:00;  2025-07-01 11:07:00;  2025-07-01 12:23:00;  2025-07-01 12:37:00;  2025-07-01 13:49:00;  2025-07-01 14:07:00;  2025-07-01 15:49:00;  2025-07-01 15:37:00;  2025-07-01 16:19:00;  2025-07-01 16:07:00;  2025-07-01 16:49:00;  2025-07-01 16:37:00;  2025-07-01 17:19:00;  2025-07-01 17:07:00;  2025-07-01 17:49:00;  2025-07-01 17:37:00;  2025-07-01 18:19:00;  2025-07-01 18:07:00;  2025-07-01 18:49:00;  2025-07-01 19:07:00;  2025-07-01 20:19:00;  2025-07-01 20:37:00
              Crissier, Marcolet;      8593816;    ARRIVAL;  2025-07-01 06:06:00;  2025-07-01 06:50:00;  2025-07-01 06:36:00;  2025-07-01 07:20:00;  2025-07-01 07:03:00;  2025-07-01 07:50:00;  2025-07-01 07:36:00;  2025-07-01 08:20:00;  2025-07-01 08:06:00;  2025-07-01 08:50:00;  2025-07-01 08:36:00;  2025-07-01 09:20:00;  2025-07-01 09:50:00;  2025-07-01 09:36:00;  2025-07-01 10:50:00;  2025-07-01 11:06:00;  2025-07-01 12:24:00;  2025-07-01 12:36:00;  2025-07-01 13:50:00;  2025-07-01 14:06:00;  2025-07-01 15:50:00;  2025-07-01 15:36:00;  2025-07-01 16:20:00;  2025-07-01 16:06:00;  2025-07-01 16:50:00;  2025-07-01 16:36:00;  2025-07-01 17:20:00;  2025-07-01 17:06:00;  2025-07-01 17:50:00;  2025-07-01 17:36:00;  2025-07-01 18:20:00;  2025-07-01 18:06:00;  2025-07-01 18:50:00;  2025-07-01 19:06:00;  2025-07-01 20:20:00;  2025-07-01 20:36:00
              Crissier, Marcolet;      8593816;  DEPARTURE;  2025-07-01 06:06:00;  2025-07-01 06:50:00;  2025-07-01 06:36:00;  2025-07-01 07:20:00;  2025-07-01 07:03:00;  2025-07-01 07:50:00;  2025-07-01 07:36:00;  2025-07-01 08:20:00;  2025-07-01 08:06:00;  2025-07-01 08:50:00;  2025-07-01 08:36:00;  2025-07-01 09:20:00;  2025-07-01 09:50:00;  2025-07-01 09:36:00;  2025-07-01 10:50:00;  2025-07-01 11:06:00;  2025-07-01 12:24:00;  2025-07-01 12:36:00;  2025-07-01 13:50:00;  2025-07-01 14:06:00;  2025-07-01 15:50:00;  2025-07-01 15:36:00;  2025-07-01 16:20:00;  2025-07-01 16:06:00;  2025-07-01 16:50:00;  2025-07-01 16:36:00;  2025-07-01 17:20:00;  2025-07-01 17:06:00;  2025-07-01 17:50:00;  2025-07-01 17:36:00;  2025-07-01 18:20:00;  2025-07-01 18:06:00;  2025-07-01 18:50:00;  2025-07-01 19:06:00;  2025-07-01 20:20:00;  2025-07-01 20:36:00
             Crissier, Zinguerie;      8591939;    ARRIVAL;  2025-07-01 06:05:00;  2025-07-01 06:52:00;  2025-07-01 06:35:00;  2025-07-01 07:22:00;  2025-07-01 07:02:00;  2025-07-01 07:52:00;  2025-07-01 07:35:00;  2025-07-01 08:22:00;  2025-07-01 08:05:00;  2025-07-01 08:52:00;  2025-07-01 08:35:00;  2025-07-01 09:22:00;  2025-07-01 09:52:00;  2025-07-01 09:35:00;  2025-07-01 10:52:00;  2025-07-01 11:05:00;  2025-07-01 12:26:00;  2025-07-01 12:35:00;  2025-07-01 13:52:00;  2025-07-01 14:05:00;  2025-07-01 15:52:00;  2025-07-01 15:35:00;  2025-07-01 16:22:00;  2025-07-01 16:05:00;  2025-07-01 16:52:00;  2025-07-01 16:35:00;  2025-07-01 17:22:00;  2025-07-01 17:05:00;  2025-07-01 17:52:00;  2025-07-01 17:35:00;  2025-07-01 18:22:00;  2025-07-01 18:05:00;  2025-07-01 18:52:00;  2025-07-01 19:05:00;  2025-07-01 20:22:00;  2025-07-01 20:35:00
             Crissier, Zinguerie;      8591939;  DEPARTURE;  2025-07-01 06:05:00;  2025-07-01 06:52:00;  2025-07-01 06:35:00;  2025-07-01 07:22:00;  2025-07-01 07:02:00;  2025-07-01 07:52:00;  2025-07-01 07:35:00;  2025-07-01 08:22:00;  2025-07-01 08:05:00;  2025-07-01 08:52:00;  2025-07-01 08:35:00;  2025-07-01 09:22:00;  2025-07-01 09:52:00;  2025-07-01 09:35:00;  2025-07-01 10:52:00;  2025-07-01 11:05:00;  2025-07-01 12:26:00;  2025-07-01 12:35:00;  2025-07-01 13:52:00;  2025-07-01 14:05:00;  2025-07-01 15:52:00;  2025-07-01 15:35:00;  2025-07-01 16:22:00;  2025-07-01 16:05:00;  2025-07-01 16:52:00;  2025-07-01 16:35:00;  2025-07-01 17:22:00;  2025-07-01 17:05:00;  2025-07-01 17:52:00;  2025-07-01 17:35:00;  2025-07-01 18:22:00;  2025-07-01 18:05:00;  2025-07-01 18:52:00;  2025-07-01 19:05:00;  2025-07-01 20:22:00;  2025-07-01 20:35:00
                  Crissier, Jura;      8593815;    ARRIVAL;  2025-07-01 06:04:00;  2025-07-01 06:53:00;  2025-07-01 06:34:00;  2025-07-01 07:23:00;  2025-07-01 07:01:00;  2025-07-01 07:53:00;  2025-07-01 07:34:00;  2025-07-01 08:23:00;  2025-07-01 08:04:00;  2025-07-01 08:53:00;  2025-07-01 08:34:00;  2025-07-01 09:23:00;  2025-07-01 09:53:00;  2025-07-01 09:34:00;  2025-07-01 10:53:00;  2025-07-01 11:04:00;  2025-07-01 12:27:00;  2025-07-01 12:34:00;  2025-07-01 13:53:00;  2025-07-01 14:04:00;  2025-07-01 15:53:00;  2025-07-01 15:34:00;  2025-07-01 16:23:00;  2025-07-01 16:04:00;  2025-07-01 16:53:00;  2025-07-01 16:34:00;  2025-07-01 17:23:00;  2025-07-01 17:04:00;  2025-07-01 17:53:00;  2025-07-01 17:34:00;  2025-07-01 18:23:00;  2025-07-01 18:04:00;  2025-07-01 18:53:00;  2025-07-01 19:04:00;  2025-07-01 20:23:00;  2025-07-01 20:34:00
                  Crissier, Jura;      8593815;  DEPARTURE;  2025-07-01 06:04:00;  2025-07-01 06:53:00;  2025-07-01 06:34:00;  2025-07-01 07:23:00;  2025-07-01 07:01:00;  2025-07-01 07:53:00;  2025-07-01 07:34:00;  2025-07-01 08:23:00;  2025-07-01 08:04:00;  2025-07-01 08:53:00;  2025-07-01 08:34:00;  2025-07-01 09:23:00;  2025-07-01 09:53:00;  2025-07-01 09:34:00;  2025-07-01 10:53:00;  2025-07-01 11:04:00;  2025-07-01 12:27:00;  2025-07-01 12:34:00;  2025-07-01 13:53:00;  2025-07-01 14:04:00;  2025-07-01 15:53:00;  2025-07-01 15:34:00;  2025-07-01 16:23:00;  2025-07-01 16:04:00;  2025-07-01 16:53:00;  2025-07-01 16:34:00;  2025-07-01 17:23:00;  2025-07-01 17:04:00;  2025-07-01 17:53:00;  2025-07-01 17:34:00;  2025-07-01 18:23:00;  2025-07-01 18:04:00;  2025-07-01 18:53:00;  2025-07-01 19:04:00;  2025-07-01 20:23:00;  2025-07-01 20:34:00
            Renens VD, gare nord;      8588838;    ARRIVAL;                     ;  2025-07-01 06:57:00;                     ;  2025-07-01 07:27:00;                     ;  2025-07-01 07:57:00;                     ;  2025-07-01 08:27:00;                     ;  2025-07-01 08:57:00;                     ;  2025-07-01 09:27:00;  2025-07-01 09:57:00;                     ;  2025-07-01 10:57:00;                     ;  2025-07-01 12:31:00;                     ;  2025-07-01 13:57:00;                     ;  2025-07-01 15:57:00;                     ;  2025-07-01 16:27:00;                     ;  2025-07-01 16:57:00;                     ;  2025-07-01 17:27:00;                     ;  2025-07-01 17:57:00;                     ;  2025-07-01 18:27:00;                     ;  2025-07-01 18:57:00;                     ;  2025-07-01 20:27:00;                     
            Renens VD, gare nord;      8588838;  DEPARTURE;  2025-07-01 06:03:00;                     ;  2025-07-01 06:33:00;                     ;  2025-07-01 07:00:00;                     ;  2025-07-01 07:33:00;                     ;  2025-07-01 08:03:00;                     ;  2025-07-01 08:33:00;                     ;                     ;  2025-07-01 09:33:00;                     ;  2025-07-01 11:03:00;                     ;  2025-07-01 12:33:00;                     ;  2025-07-01 14:03:00;                     ;  2025-07-01 15:33:00;                     ;  2025-07-01 16:03:00;                     ;  2025-07-01 16:33:00;                     ;  2025-07-01 17:03:00;                     ;  2025-07-01 17:33:00;                     ;  2025-07-01 18:03:00;                     ;  2025-07-01 19:03:00;                     ;  2025-07-01 20:33:00
